ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,days,ret,ex
000703.SZ,20260123,10.0,20270122,20260213,20260518,20958.362699999998,26.374198,4,False,完成,56,0.15463108320251173,0.140809977367522
000715.SZ,20230907,1.0,20240906,20231024,20231130,3936.0315,2.8786797573999996,6,False,完成,27,0.16789396170839477,0.14190108071368024
000723.SZ,20231030,3.0,20240427,20231102,20240325,7310.092199999999,5.057298380400001,6,False,完成,95,-0.03458213256484144,-0.039973284361741745
000725.SZ,20200829,20.0,20201127,20200902,20200903,53074.851500000004,30.316628387100003,2,False,完成,1,-0.005226480836237002,
000725.SZ,20210831,30.0,20220827,20210902,20220228,249474.54379999998,132.8546596201,9,False,完成,114,-0.1993185689948893,-0.16815992473850838
000725.SZ,20241031,0.12,,20241122,20241231,29258.121300000003,12.636903890700001,4,False,完成,27,0.03537735849056589,0.009252804715180085
000725.SZ,20250422,0.05,,20250613,20251231,106242.3939,42.7873834749,7,False,完成,137,0.09603535555831644,-0.06740838171358621
000725.SZ,20260401,63.0,20270330,20260409,20260731,279648.94200000004,118.1884523203,7,False,完成,77,0.38647071516374165,0.4349174576683046
000731.SZ,20210427,0.5,20220518,20210604,20210624,623.8599999999999,0.34784854000000004,2,False,完成,13,-0.023049645390070816,-0.01614957555349139
000731.SZ,20230425,0.95,20240518,20230523,20231013,5827.1932,4.67973505,8,False,完成,95,-0.11520569345599718,-0.06989613769623171
000731.SZ,20240430,1.0,20250523,20240604,20240913,5454.3453,3.6869917016,6,False,完成,72,-0.030486643584902495,0.10830606786833719
000731.SZ,20250509,0.7,20260523,20250618,20251030,3449.9755,2.4177912585,7,False,完成,90,0.01198577254075417,-0.13982658182422014
000739.SZ,20220506,4.0,20221105,20220517,20220831,3366.2563999999998,7.438518717500001,5,False,完成,75,-0.2238141669498156,-0.25009991916745744
000739.SZ,20240328,3.0,20240927,20240402,20240731,3171.4,4.4009974,5,False,完成,80,0.12583899386201347,0.17802096844101167
000739.SZ,20250220,1.5,20260219,20250430,20251112,3106.73,4.44953997,5,False,完成,130,0.18051222582743143,-0.032299608600650176
000739.SZ,20251120,3.6,20261118,20251128,20260108,5524.0,8.994401004,4,False,完成,27,0.018750000000000044,-0.029750686251419967
000739.SZ,20260612,1.5,20261229,20260701,20260831,913.01,1.6593895189999999,3,False,完成,37,0.2611983711460151,0.30110927827951794
000757.SZ,20240426,0.3,20250425,20240429,20250408,8687.080000000002,2.53369799,13,False,完成,227,-0.05899705014749268,-0.06872131348441235
000757.SZ,20260403,0.2,20270423,20260608,20260831,738.0,0.271316,4,False,完成,57,0.14102564102564097,0.133308636555032
000759.SZ,20240815,0.29,,20241107,20241226,1064.9805999999999,0.3259926065,2,False,完成,35,1.2139639639639639,1.2612552023883916
000759.SZ,20250827,0.0,,20250917,20251218,750.8104000000001,0.2306660664,2,False,完成,60,0.006337135614702172,0.006329451215284276
000759.SZ,20260422,,,20260817,20260819,1286.8208,0.39977232840000004,2,False,完成,2,-0.06178160919540221,-0.040525558320972266
000776.SZ,20220331,4.06,20230330,20220505,20220511,1812.7753,2.7859470347,2,False,完成,4,0.004487179487179471,0.007461197163835642
000778.SZ,20220214,0.05,,20220511,20220511,82.14,0.022362353600000003,2,False,完成,0,0.0,
000778.SZ,20231223,0.3,,20250110,20250110,2408.6324,0.6554936249,3,False,完成,0,0.0,
